id,response,time,correct_bool
1,50.24,6.8880337,TRUE
2,December,6.1620744,TRUE
3,$37.04 - $60.95,8.1599655,TRUE
4,falling,6.8701718,TRUE
5,$15 ,5.0115631,TRUE
6,15 Mbps,6.809267,TRUE
7,South Korea,8.4048259,TRUE
8,2 - 20.5 Mbps,14.7335402,TRUE
9,6,8.8613743,FALSE
10,9,8.1077357,FALSE
11,4 to 10,5.7218887,TRUE
12,New York City,6.0461941,FALSE
13,$13 - $24.2,8.8275122,TRUE
14,FALSE,6.0615269,FALSE
15,FALSE,8.1754364,TRUE
16,38%,5.5229856,TRUE
17,College Graduate,5.6221045,TRUE
18,FALSE,5.5377809,TRUE
19,25%,5.3361217,TRUE
20,Lenovo,5.472549,TRUE
21,TRUE,4.5145227,TRUE
22,240,9.6535742,FALSE
23,4.4-4.6,7.7287431,TRUE
24,TRUE,7.8513676,TRUE
25,FALSE,7.8483312,FALSE
26,Cannot be inferred,7.199821,TRUE
27,54,12.2343895,FALSE
28,197.1 cm,14.8953214,TRUE
29,40 - 130 kg,21.4616405,FALSE
30,23,16.6171609,FALSE
31,175.3 cm,13.91417,TRUE
32,TRUE,19.1668771,TRUE
33,FALSE,19.8756473,TRUE
34,FALSE,24.1064766,TRUE
35,5.1,10.2133881,TRUE
36,14-Dec,11.2919104,TRUE
37,$4.6 - $5.9,12.5077873,FALSE
38,falling,9.2973298,TRUE
39,4 months,13.9040854,FALSE
40,"3,800",8.0560111,FALSE
41,1 to 1,6.9992246,TRUE
42,2012,6.5921332,TRUE
43,"1,200 - 4,000",6.4229905,FALSE
44,rising,5.2534029,TRUE
45,TRUE,5.9698221,FALSE
46,FALSE,8.3169996,TRUE
47,530,8.7220474,TRUE
48,New York City,8.7123552,TRUE
49,180 - 560 km,9.4451363,TRUE
50,FALSE,11.5942825,FALSE
51,New York City,9.4076722,TRUE
52,FALSE,11.9554079,TRUE
53,FALSE,11.8786878,TRUE
54,FALSE,9.6845188,TRUE
55,4.6% - 5.7%,9.5298256,FALSE
56,AK,6.7419685,FALSE
57,TRUE,5.4435655,TRUE
58,5%,9.8878273,FALSE
59,Google,11.8777684,TRUE
60,FALSE,8.8942643,TRUE
61,FALSE,7.3767255,TRUE
