id,response,time,correct_bool
1,50.24,7.4693513,TRUE
2,December,6.9811369,TRUE
3,$37.04 - $60.95,7.4289702,TRUE
4,falling,6.4006154,TRUE
5,15,5.4651107,TRUE
6,15 Mbps,7.7320762,TRUE
7,South Korea,7.3058832,TRUE
8,2 - 20.5 Mbps,7.0654599,TRUE
9,6,8.5822506,FALSE
10,9,11.8492551,FALSE
11,4 to 10,7.4114185,TRUE
12,New York City,7.4378291,FALSE
13,$13 - $24.2,8.6132947,TRUE
14,FALSE,9.7789672,FALSE
15,FALSE,5.6888016,TRUE
16,38%,5.7532657,TRUE
17,Some College Degree,4.7996615,FALSE
18,FALSE,6.30334,TRUE
19,25%,7.2343647,TRUE
20,Lenovo,5.880996,TRUE
21,TRUE,5.2597161,TRUE
22,240,6.8624883,FALSE
23,4.4-4.6,8.3380269,TRUE
24,TRUE,8.3745103,TRUE
25,FALSE,7.6209821,FALSE
26,Cannot be inferred,7.6031569,TRUE
27,54,12.7605905,FALSE
28,197.1 cm,20.0755099,TRUE
29,53.9 - 123.6 kg,19.9508895,TRUE
30,28,15.5801218,FALSE
31,175.3 cm,12.9229467,TRUE
32,TRUE,34.710078,TRUE
33,FALSE,15.3646287,TRUE
34,FALSE,23.7332444,TRUE
35,5.1,11.0730688,TRUE
36,14-Jun,13.9000556,FALSE
37,$4.6 - $6.0,10.4529876,TRUE
38,falling,7.817272,TRUE
39,5 months,13.9545698,FALSE
40,"8,000",6.6905224,FALSE
41,1 to 1,5.3554792,TRUE
42,2012,7.3761612,TRUE
43,"1,200 - 4,700",5.8840833,TRUE
44,rising,5.3598121,TRUE
45,FALSE,7.2627654,TRUE
46,FALSE,8.5125259,TRUE
47,530 km,10.9763884,TRUE
48,New York City,8.3897657,TRUE
49,180 - 560 km,10.0752938,TRUE
50,FALSE,9.8000073,FALSE
51,New York City,8.8188598,TRUE
52,TRUE,7.6209821,FALSE
53,FALSE,12.264376,TRUE
54,FALSE,9.756587,TRUE
55,4.6% - 5.7%,15.6020316,FALSE
56,Alaska (AK); New Mexico (NM),5.2497269,FALSE
57,TRUE,4.5446062,TRUE
58,5%,11.5633597,FALSE
59,Google,15.1634618,TRUE
60,FALSE,8.4596782,TRUE
61,FALSE,7.9639839,TRUE
