id,response,time,correct_bool
1,$50.24 ,13.8811404,TRUE
2,December,10.4625296,TRUE
3,$37.04 - $60.95,11.9159119,TRUE
4,falling,10.356668,TRUE
5,$15 ,10.0399861,TRUE
6,15 Mbps,13.1675104,TRUE
7,South Korea,13.6332841,TRUE
8,2 - 20.5 Mbps,15.2531148,TRUE
9,7 countries,11.7763311,TRUE
10,$12 ,16.5692469,TRUE
11,4 to 10,18.1642718,TRUE
12,Washington D.C.,15.4826139,TRUE
13,$13 - $24.2,22.9522873,TRUE
14,TRUE,17.3533318,TRUE
15,FALSE,16.5996987,TRUE
16,38%,10.0311653,TRUE
17,College Graduate,8.6972754,TRUE
18,FALSE,9.4758459,TRUE
19,25%,8.4829305,TRUE
20,Lenovo,9.076782,TRUE
21,TRUE,7.7531378,TRUE
22,153,13.7522483,TRUE
23,4.4-4.6,11.1452818,TRUE
24,TRUE,16.2461251,TRUE
25,TRUE,11.2909074,TRUE
26,Cannot be inferred,16.029914,TRUE
27,70.5,12.3215476,TRUE
28,197.1 cm,10.4312961,TRUE
29,53.9 - 123.6 kg,10.9307952,TRUE
30,TRUE,8.6825505,TRUE
31,175.3 cm,10.080156,TRUE
32,TRUE,33.8416526,TRUE
33,FALSE,26.8081176,TRUE
34,FALSE,11.9565489,TRUE
35,$5.10 ,15.6463766,TRUE
36,Dec-14,17.2098458,TRUE
37,$4.6 - $6.0,21.5116075,TRUE
38,falling,17.6902388,TRUE
39,3 months,14.9171838,TRUE
40,"4,200",13.582139,TRUE
41,1 to 1,19.6228611,TRUE
42,2012,10.8989097,TRUE
43,"1,200 - 4,700",11.3354298,TRUE
44,rising,14.4640935,TRUE
45,TRUE,11.0742634,FALSE
46,FALSE,16.3057219,TRUE
47,530 km,15.6415676,TRUE
48,New York City,14.3792729,TRUE
49,180 - 560 km,18.0906141,TRUE
50,FALSE,16.7529085,FALSE
51,New York City,17.5112784,TRUE
52,FALSE,18.1832324,TRUE
53,FALSE,17.1846205,TRUE
54,FALSE,14.1068181,TRUE
55,2.3% - 3.4%,27.3764089,FALSE
56,New Mexico (NM),10.7795805,TRUE
57,TRUE,20.093952,TRUE
58,10%,16.6375451,TRUE
59,Google,14.351289,TRUE
60,FALSE,18.6693914,TRUE
61,FALSE,13.0942444,TRUE
