id,response,time,correct_bool
1,$50.24 ,13.804384,TRUE
2,December,20.2912868,TRUE
3,$37.04 - $60.95,11.9859968,TRUE
4,falling,10.7378567,TRUE
5,$15 ,10.8079169,TRUE
6,15 Mbps,12.9101037,TRUE
7,South Korea,13.8879917,TRUE
8,2 - 20.5 Mbps,14.0480533,TRUE
9,7 countries,11.7065604,TRUE
10,$12 ,17.0379679,TRUE
11,4 to 10,18.1541475,TRUE
12,Washington D.C.,15.3822881,TRUE
13,$13 - $24.2,22.1314038,TRUE
14,TRUE,15.7287578,TRUE
15,FALSE,17.2744373,TRUE
16,38%,11.2675062,TRUE
17,College Graduate,9.6331727,TRUE
18,FALSE,11.2718562,TRUE
19,25%,9.567759,TRUE
20,Lenovo,8.9588452,TRUE
21,TRUE,8.0170052,TRUE
22,153,16.5825497,TRUE
23,4.4-4.6,11.5103455,TRUE
24,TRUE,14.6702908,TRUE
25,TRUE,12.1111365,TRUE
26,Cannot be inferred,13.7441842,TRUE
27,70.5,12.4459832,TRUE
28,197.1 cm,18.3275415,TRUE
29,53.9 - 123.6 kg,11.9376042,TRUE
30,TRUE,9.9849148,TRUE
31,175.3 cm,11.070635,TRUE
32,TRUE,35.243633,TRUE
33,FALSE,9.5720524,TRUE
34,FALSE,12.6667861,TRUE
35,$5.10 ,16.4392733,TRUE
36,Dec-14,22.2999449,TRUE
37,$4.6 - $6.0,20.2559913,TRUE
38,falling,20.8012842,TRUE
39,3 months,16.8824806,TRUE
40,"4,200",13.7169893,TRUE
41,1 to 1,13.7598998,TRUE
42,2012,12.1869869,TRUE
43,"1,200 - 4,700",12.4349362,TRUE
44,rising,11.9182719,TRUE
45,TRUE,14.2677619,FALSE
46,FALSE,16.8893512,TRUE
47,530 km,15.7095086,TRUE
48,New York City,14.2949447,TRUE
49,180 - 560 km,18.5013423,TRUE
50,FALSE,17.5362022,FALSE
51,New York City,21.2977921,TRUE
52,FALSE,19.9197902,TRUE
53,FALSE,16.8266144,TRUE
54,FALSE,14.4437152,TRUE
55,2.3% - 3.4%,28.4060837,FALSE
56,New Mexico (NM),10.4173749,TRUE
57,TRUE,22.4412004,TRUE
58,10%,19.9266032,TRUE
59,Google,17.6773777,TRUE
60,FALSE,18.6753681,TRUE
61,FALSE,10.9511042,TRUE
