id,response,time,correct_bool
1,$50.24 ,56.3419194,TRUE
2,December,68.2992185,TRUE
3,$35 - $65,83.3581034,FALSE
4,falling,71.1618346,TRUE
5,$15 ,61.3195322,TRUE
6,15 Mbps,63.0676236,TRUE
7,South Korea,60.0510102,TRUE
8,2 - 20.5 Mbps,91.0146208,TRUE
9,7 countries,84.5516677,TRUE
10,12,180.1932635,TRUE
11,4 to 10,94.3003662,TRUE
12,New York City,71.8506227,FALSE
13,$13 - $24.2,114.6558301,TRUE
14,FALSE,51.2127612,FALSE
15,TRUE,82.3630074,FALSE
16,38%,62.5426156,TRUE
17,College Graduate,59.4491987,TRUE
18,FALSE,70.869798,TRUE
19,25%,46.2865272,TRUE
20,Lenovo,36.3250859,TRUE
21,TRUE,24.3565487,TRUE
22,240,47.1530673,FALSE
23,4.4-4.6,49.2258123,TRUE
24,TRUE,41.8061797,TRUE
25,TRUE,107.1663147,TRUE
26,Cannot be inferred,97.6951772,TRUE
27,70.5 kg,136.8216133,TRUE
28,197.1 cm,155.3458674,TRUE
29,53.9 - 123.6 kg,270.2682092,TRUE
30,TRUE,94.4692448,TRUE
31,193 cm,108.4781055,FALSE
32,TRUE,221.1882808,TRUE
33,FALSE,82.5452242,TRUE
34,FALSE,60.2003528,TRUE
35,$5.10 ,127.3772505,TRUE
36,14-Dec,55.8228939,TRUE
37,$4.6 - $6.1,70.4206665,FALSE
38,falling,75.295138,TRUE
39,11,116.1078597,FALSE
40,"4,200",30.0089066,TRUE
41,1 to 1,27.5351306,TRUE
42,2012,27.4750726,TRUE
43,"3,000 - 8,700",34.8586332,FALSE
44,rising,29.1350051,TRUE
45,FALSE,35.9209816,TRUE
46,FALSE,90.1076348,TRUE
47,530 km,111.3176407,TRUE
48,New York City,38.8264179,TRUE
49,150 - 600 km,130.155064,FALSE
50,FALSE,49.55168,FALSE
51,New York City,40.4718166,TRUE
52,FALSE,111.7806914,TRUE
53,FALSE,62.5770209,TRUE
54,FALSE,94.6361559,TRUE
55,3.4% - 4.6%,83.0126524,TRUE
56,AK,30.8408217,FALSE
57,TRUE,19.6875533,TRUE
58,10%,35.4614666,TRUE
59,Google,28.2392515,TRUE
60,FALSE,23.9653753,TRUE
61,FALSE,46.7420451,TRUE
