id,response,time,correct_bool
1,$50.24 ,58.5606845,TRUE
2,December,46.76136,TRUE
3,$35 - $65,62.3739485,FALSE
4,falling,63.4637954,TRUE
5,$15 ,79.609305,TRUE
6,15 Mbps,58.0477744,TRUE
7,South Korea,46.51933,TRUE
8,2 - 20.5 Mbps,94.1289433,TRUE
9,7 countries,66.3240563,TRUE
10,$12 ,61.3220475,TRUE
11,2 to 10,69.0271672,FALSE
12,New York City,44.9653959,FALSE
13,$13 - $24.2,47.0213066,TRUE
14,FALSE,53.106838,FALSE
15,FALSE,75.1840833,TRUE
16,38%,40.9074604,TRUE
17,College Graduate,38.53721,TRUE
18,FALSE,40.5116662,TRUE
19,25%,25.9945589,TRUE
20,Lenovo,32.6682487,TRUE
21,TRUE,25.3289631,TRUE
22,240,79.6669013,FALSE
23,4.4-4.6,47.3489576,TRUE
24,TRUE,98.8128178,TRUE
25,TRUE,72.9883037,TRUE
26,Cannot be inferred,101.6729267,TRUE
27,67.7 kg,225.71014,FALSE
28,197.1 cm,173.4960109,TRUE
29,53.9 - 123.6 kg,187.1486162,TRUE
30,TRUE,120.599851,TRUE
31,193 cm,147.3865158,FALSE
32,TRUE,127.1892617,TRUE
33,FALSE,114.7671278,TRUE
34,FALSE,32.243764,TRUE
35,$5.00 ,139.3961816,FALSE
36,14-Dec,135.3412306,TRUE
37,$4.6 - $6.1,133.6186987,FALSE
38,falling,75.5258401,TRUE
39,Error: No answer in correct format,180.4180693,FALSE
40,"4,200",74.6965899,TRUE
41,1 to 1,28.0513305,TRUE
42,2012,75.7966966,TRUE
43,"1,200 - 4,700",95.0720959,TRUE
44,rising,27.3489538,TRUE
45,FALSE,32.2537892,TRUE
46,FALSE,47.9941008,TRUE
47,530 km,79.6054106,TRUE
48,New York City,75.7590151,TRUE
49,180 - 560 km,95.6950861,TRUE
50,FALSE,51.099928,FALSE
51,New York City,70.3042434,TRUE
52,FALSE,107.1146445,TRUE
53,FALSE,131.7447387,TRUE
54,FALSE,87.4417428,TRUE
55,4.6% - 5.7%,64.1081215,FALSE
56,AK,79.4356255,FALSE
57,TRUE,19.5534293,TRUE
58,10%,75.276797,TRUE
59,Google,29.4343914,TRUE
60,FALSE,48.7945181,TRUE
61,FALSE,27.0786895,TRUE
